artigoEmPeriodico	 	2019	1473-7159	http://dx.doi.org/10.1080/14737159.2019.1582333	Quantitative real-time PCR for differential diagnostics of parvovirus B19 infection in acute liver failure patients	EXPERT REVIEW OF MOLECULAR DIAGNOSTICS	ALVES, ARTHUR DANIEL ROCHA ; CUBEL GARCIA, RITA DE CASSIA NASSER ; CRUZ, O. G. ; Pinto, M. A. ; AMADO LEON, LUCIANE ALMEIDA		
artigoEmPeriodico	 	2019	2045-2322	http://dx.doi.org/10.1038/s41598-019-40875-1	Unraveling RNA dynamical behavior of TPP riboswitches: a comparison between Escherichia coli and Arabidopsis thaliana	Scientific Reports	ANTUNES, DEBORAH ; JORGE, NATASHA ANDRESSA NOGUEIRA ; GARCIA DE SOUZA COSTA, MAURICIO ; PASSETTI, FABIO ; CAFFARENA, ERNESTO RAUL		
artigoEmPeriodico	 	2019	1935-2735	http://dx.doi.org/10.1371/journal.pntd.0007147	Quantitative polymerase chain reaction in paucibacillary leprosy diagnosis: A follow-up study	PLoS Neglected Tropical Diseases	BARBIERI, RAQUEL R. ; MANTA, FERNANDA S. N. ; MOREIRA, SUELEN J. M. ; SALES, ANNA M. ; NERY, JOSÉ A. C. ; NASCIMENTO, LILIAN P. R. ; HACKER, MARIANA A. ; PACHECO, ANTÔNIO G. ; MACHADO, ALICE M. ; SARNO, EUZENIR M. ; MORAES, MILTON O.		
artigoEmPeriodico	 	2019	1663-9812	http://dx.doi.org/10.3389/fphar.2019.00498	Suspected Adverse Drug Reactions Related to Breast Cancer Chemotherapy: Disproportionality Analysis of the Brazilian Spontaneous Reporting System	Frontiers in Pharmacology	BARCELOS, FLÁVIA CAMPOS ; MATOS, GUACIRA CORRÊA DE ; SILVA, MARIO JORGE SOBREIRA DA ; SILVA, FABRÍCIO ALVES BARBOSA DA ; LIMA, ELISANGELA DA COSTA		
artigoEmPeriodico	 	2019	1097-0258	http://dx.doi.org/10.1002/sim.8303	A modelling approach for correcting reporting delays in disease surveillance data	Statistics in Medicine	BASTOS, LEONARDO S ; ECONOMOU, THEODOROS ; GOMES, MARCELO F C ; VILLELA, DANIEL A M ; COELHO, FLAVIO C ; CRUZ, OSWALDO G ; STONER, OLIVER ; BAILEY, TREVOR ; CODEÇO, CLAUDIA T		
artigoEmPeriodico	 	2019	0277-6715	http://dx.doi.org/10.1002/sim.8120	Emulating a trial of joint dynamic strategies: An application to monitoring and treatment of HIV positive individuals	STATISTICS IN MEDICINE	CANIGLIA, ELLEN C		
artigoEmPeriodico	 	2019	1678-4464	http://dx.doi.org/10.1590/0102-311x00139319	Desafios da ciência frente à complexidade dos problemas de saúde	CADERNOS DE SAÚDE PÚBLICA	CARVALHO, Marilia Sá		
artigoEmPeriodico	 	2019	1932-6203	http://dx.doi.org/10.1371/journal.pone.0216653	Context-dependence of race self-classification: Results from a highly mixed and unequal middle-income country	PLoS One	CHOR, DÓRA ; PEREIRA, ALEXANDRE ; Pacheco, Antonio G. ; SANTOS, RICARDO V. ; FONSECA, MARIA J. M. ; SCHMIDT, MARIA I. ; DUNCAN, BRUCE B. ; BARRETO, SANDHI M. ; AQUINO, ESTELA M. L. ; MILL, JOSÉ G. ; MOLINA, MARIA DELCB ; GIATTI, LUANA ; ALMEIDA, MARIA DACC ; BENSENOR, ISABELA ; LOTUFO, PAULO A.		
artigoEmPeriodico	 	2019	1664-8021	http://dx.doi.org/10.3389/fgene.2019.00930	Signaling Complexity Measured by Shannon Entropy and Its Application in Personalized Medicine	Frontiers in Genetics	CONFORTE, ALESSANDRA J. ; TUSZYNSKI, JACK ADAM ; SILVA, FABRICIO ALVES BARBOSA DA ; Carels, Nicolas		
artigoEmPeriodico	 	2019	2045-2322	http://dx.doi.org/10.1038/s41598-018-35657-0	The risks of HCV infection among Brazilian crack cocaine users: incorporating diagnostic test uncertainty	Scientific Reports	COUTINHO, C. F. ; BASTOS, L. S. ; MOTA, J. C. ; TOLEDO, L. ; COSTA, K. ; BERTONI, NEILANE ; BASTOS, FRANCISCO I.		
artigoEmPeriodico	 	2019	1746-0913	http://dx.doi.org/10.2217/fmb-2018-0211	Accuracy of rapid test for diagnosis of hepatitis A with different infection rate settings and with predictive modeling	Future Microbiology	DE ALMEIDA RIBEIRO, CAMILLA RODRIGUES ; AMADO, LUCIANE ALMEIDA ; TOURINHO, RENATA SANTOS ; PINTO LIMA, LYANA RODRIGUES ; MELGAÇO, JULIANA GIL ; DE ALMEIDA, ADILSON JOSÉ ; Bastos, Leonardo Soares ; LEWIS-XIMENEZ, LIA LAURA ; DE PAULA, VANESSA SALETE		
artigoEmPeriodico	 	2019	0001-706X	http://dx.doi.org/10.1016/j.actatropica.2019.105061	Entomo-virological surveillance strategy for dengue, Zika and chikungunya arboviruses in field-caught Aedes mosquitoes in an endemic urban area of the Northeast of Brazil	ACTA TROPICA	DOS REIS, IZABEL CRISTINA ; GIBSON, GERUSA ; AYLLÓN, TANIA ; DE MEDEIROS TAVARES, ALESSANDRE ; DE ARAÚJO, JOSÉLIO MARIA GALVÃO ; DA SILVA MONTEIRO, ELIAS ; RODRIGUES AGUIAR, AMANDA ; DE OLIVEIRA, JOSINALDO VITAL ; DE PAIVA, ANNE ALINE PEREIRA ; WANA BEZERRA PEREIRA, HANNALY ; DANTAS MONTEIRO, JOELMA ; Sá Carvalho, Marilia ; SABROZA, PAULO CHAGASTELLES ; ALVES HONÓRIO, NILDIMAR		
artigoEmPeriodico	 	2019	1678-4464	http://dx.doi.org/10.1590/0102-311x00033417	O uso do Twitter como minerador de eventos adversos de medicamentos de combate à malária: o caso da doxiciclina	CADERNOS DE SAÚDE PÚBLICA	DUVAL, F. ; SILVA, F. A. B.		
artigoEmPeriodico	 	2019	2045-2322	http://dx.doi.org/10.1038/s41598-019-50235-8	Ambient temperature and mortality due to acute myocardial infarction in Brazil: an ecological study of time-series analyses	Scientific Reports	FERREIRA, LETÍCIA DE CASTRO MARTINS ; NOGUEIRA, MÁRIO CÍRIO ; PEREIRA, RICARDO VELA DE BRITTO ; DE FARIAS, WILLIAM COSSICH MARCIAL ; RODRIGUES, MORENO MAGALHAES DE SOUZA ; TEIXEIRA, MARIA TERESA BUSTAMANTE ; CARVALHO, Marilia Sá		
